UK General Election Results 1992,,,,,,,,,
Constituency,MP,Candidate,Party,Votes,%,Electorate,Majority,Turnout,Status
,,Brian J Cotter,Liberal Democrat,24680,39.25%,,,,
,,DE Murray,Labour,6913,10.99%,,,,
,,Dr. RH Lawson,Green,1262,2.01%,,,,
,,,,,,,,,
Wigan,*,R Stott,Labour,34910,63.01%,72741,21842,76.16%,Labour Hold
,,EJW Hess,Conservative,13068,23.59%,,,,
,,G Davies,Liberal Democrat,6111,11.03%,,,,
,,KJ White,Liberal,1116,2.01%,,,,
,,Mrs AB Tayler,Natural Law,197,0.36%,,,,
,,,,,,,,,
Wiltshire North,*,Richard Needham (Earl of Kilmorey),Conservative,39028,55.63%,85852,16388,81.71%,Conservative Hold
,,Mrs CR Napier,Liberal Democrat,22640,32.27%,,,,
,,Mrs C Reid,Labour,6945,9.90%,,,,
,,Ms. LH Howitt,Green,850,1.21%,,,,
,,GFJ Hawkins,Liberal,622,0.89%,,,,
,,DS Martienssen,Independent,66,0.09%,,,,
,,,,,,,,,
Wimbledon,*,Dr. C Goodson-Wickes,Conservative,26331,53.00%,61966,14761,80.17%,Conservative Hold
,,KJ Abrams,Labour,11570,23.29%,,,,
,,Mrs AL Willott,Liberal Democrat,10569,21.27%,,,,
,,VH Flood,Green,860,1.73%,,,,
,,HRA Godfrey,Natural Law,181,0.36%,,,,
,,GW Hadley,Independent,170,0.34%,,,,
,,,,,,,,,
Winchester,,GP Malone,Conservative,33113,50.08%,79432,8121,83.24%,Conservative Hold
,,AD Barron,Liberal Democrat,24992,37.80%,,,,
,,PJ Jenks,Labour,4917,7.44%,,,,
,*,JEDD Browne,Independent Conservative,3095,4.68%,,,,
,,,,,,,,,
Windsor and Maidenhead,,MStJ Trend,Conservative,35075,55.53%,77427,12928,81.57%,Conservative Hold
,,JRG Hyde,Liberal Democrat,22147,35.06%,,,,
,,Miss CMS Attlee,Labour,4975,7.88%,,,,
,,RN Williams,Green,510,0.81%,,,,
,,DN Askwith,Monster Raving Loony,236,0.37%,,,,
,,Miss E Bigg,Independent,110,0.17%,,,,
,,MRS Grenville,Natural Law,108,0.17%,,,,
,,,,,,,,,
Wirral South,*,GB Porter,Conservative,25590,50.83%,61135,8183,82.35%,Conservative Hold
,,Ms. HM Southworth,Labour,17407,34.58%,,,,
,,ET Cunniffe,Liberal Democrat,6581,13.07%,,,,
,,N Birchenough,Green,584,1.16%,,,,
,,G Griffiths,Natural Law,182,0.36%,,,,
,,,,,,,,,
Wirral West,*,DJF Hunt,Conservative,26852,52.70%,62471,11064,81.55%,Conservative Hold
,,Ms. H Stephenson,Labour,15788,30.99%,,,,
,,JL Thornton,Liberal Democrat,7420,14.56%,,,,
,,Mrs GM Bowler,Green,700,1.37%,,,,
,,NJ Broome,Natural Law,188,0.37%,,,,
,,,,,,,,,
Witney,*,DR Hurd,Conservative,36256,56.38%,78541,22568,81.88%,Conservative Hold
,,JA Plaskitt,Labour,13688,21.29%,,,,
,,IM Blair,Liberal Democrat,13393,20.83%,,,,
,,Ms. C Beckford,Green,716,1.11%,,,,
,,Ms. SB Catling,Natural Law,134,0.21%,,,,
,,Mrs MCC Brown,Independent Conservative,119,0.19%,,,,
,,,,,,,,,
Woking,*,CGD Onslow,Conservative,37744,58.95%,80814,19842,79.23%,Conservative Hold
,,Mrs DA Buckrell,Liberal Democrat,17902,27.96%,,,,
,,JM Dalgleish,Labour,8080,12.62%,,,,
,,Mrs TA Macintyre,Natural Law,302,0.47%,,,,
,,,,,,,,,
Wokingham,*,JA Redwood,Conservative,43497,61.43%,86545,25709,81.82%,Conservative Hold
,,PGT Simon,Liberal Democrat,17788,25.12%,,,,
,,NTG Bland,Labour,8846,12.49%,,,,
,,P Owen,Monster Raving Loony,531,0.75%,,,,
,,PE Harriss,Independent,148,0.21%,,,,
,,,,,,,,,
Wolverhampton North East,,K Purchase,Labour/Co-operative,24106,49.29%,62701,3939,78.00%,Labour/Co-operative Gain
,*,Mrs MP Hicks,Conservative,20167,41.24%,,,,
,,MJ Gwinnett,Liberal Democrat,3546,7.25%,,,,
,,KEJ Bullman,Liberal,1087,2.22%,,,,
,,,,,,,,,
Wolverhampton South East,*,D Turner,Labour/Co-operative,23215,56.73%,56170,10240,72.85%,Labour/Co-operative Hold
,,PC Bradbourn,Conservative,12975,31.71%,,,,
,,RF Whitehouse,Liberal Democrat,3881,9.48%,,,,
,,Miss C Twelvetrees,Liberal,850,2.08%,,,,
,,,,,,,,,
Wolverhampton South West,*,NW Budgen,Conservative,25969,49.30%,67368,4966,78.20%,Conservative Hold
,,SF Murphy,Labour,21003,39.87%,,,,
,,M Wiggin,Liberal Democrat,4470,8.49%,,,,
,,CG Hallmark,Liberal,1237,2.35%,,,,
,,,,,,,,,
Woodspring,,Dr. L Fox,Conservative,35175,54.52%,77532,17509,83.22%,Conservative Hold
,,Mrs NE Kirsen,Liberal Democrat,17666,27.38%,,,,
,,RE Stone,Labour,9942,15.41%,,,,
,,NE Brown,Liberal,836,1.30%,,,,
,,Mrs RJ Knifton,Green,801,1.24%,,,,
,,BD Lee,Natural Law,100,0.15%,,,,
,,,,,,,,,
Woolwich,,JE Austin-Walker,Labour,17551,44.21%,55977,2225,70.91%,Labour Gain
,*,JC Cartwright,Social Democrat,15326,38.61%,,,,
,,KJT Walmsley,Conservative,6598,16.62%,,,,
,,Mrs SJE Hayward,Natural Law,220,0.55%,,,,
,,,,,,,,,
Worcester,,PJ Luff,Conservative,27883,46.39%,74201,6152,81.01%,Conservative Hold
,,RE Berry,Labour,21731,36.15%,,,,
,,JJ Caiger,Liberal Democrat,9561,15.91%,,,,
,,MJ Foster,Green,592,0.98%,,,,
,,MC Soden,Independent,343,0.57%,,,,
,,,,,,,,,
Worcestershire Mid,*,ME Forth,Conservative,33964,49.71%,84290,9870,81.06%,Conservative Hold
,,Mrs JJ Smith,Labour,24094,35.26%,,,,
,,DJ Barwick,Liberal Democrat,9745,14.26%,,,,
,,P Davis,Natural Law,520,0.76%,,,,
,,,,,,,,,
Worcestershire South,*,WMH Spicer,Conservative,34792,54.08%,80157,16151,80.26%,Conservative Hold
,,PJ Chandler,Liberal Democrat,18641,28.97%,,,,
,,N Knowles,Labour,9727,15.12%,,,,
,,GHM Woodford,Green,1178,1.83%,,,,
,,,,,,,,,
Workington,*,DN Campbell-Savours,Labour,26719,56.90%,57608,10449,81.51%,Labour Hold
,,SE Sexton,Conservative,16270,34.65%,,,,
,,Ms. CA Neale,Liberal Democrat,3028,6.45%,,,,
,,D Langstaff,Monster Raving Loony,755,1.61%,,,,
,,NM Escott,Natural Law,183,0.39%,,,,
,,,,,,,,,
Worsley,*,T Lewis,Labour,29418,52.38%,72244,10012,77.75%,Labour Hold
,,NStC Cameron,Conservative,19406,34.55%,,,,
,,RD Boyd,Liberal Democrat,6490,11.55%,,,,
,,PJ Connolly,Green,677,1.21%,,,,
,,GD Phillips,Natural Law,176,0.31%,,,,
,,,,,,,,,
Worthing West,*,TL Higgins,Conservative,34198,56.97%,77550,16533,77.40%,Conservative Hold
,,Mrs S Bucknall,Liberal Democrat,17665,29.43%,,,,
,,JLW Deen,Labour,6679,11.13%,,,,
,,Mrs PJ Beever,Green,806,1.34%,,,,
,,NJ Goble,Liberal,679,1.13%,,,,
,,,,,,,,,
Wrekin,*,BJ Grocott,Labour,33865,48.29%,90893,6648,77.15%,Labour Hold
,,Mrs EJ Holt,Conservative,27217,38.81%,,,,
,,AC West,Liberal Democrat,8032,11.45%,,,,
,,RTC Saunders,Green,1008,1.44%,,,,
,,,,,,,,,
Wrexham,*,Dr. J Marek,Labour,24830,48.28%,63729,6716,80.71%,Labour Hold
,,OW Paterson,Conservative,18114,35.22%,,,,
,,AM Thomas,Liberal Democrat,7074,13.75%,,,,
,,WG Wheatley,Plaid Cymru,1415,2.75%,,,,
,,,,,,,,,
Wycombe,*,RW Whitney,Conservative,30081,53.14%,72565,17076,78.01%,Conservative Hold
,,TW Andrews,Liberal Democrat,13005,22.97%,,,,
,,JRW Huddart,Labour,12222,21.59%,,,,
,,JS Laker,Green,686,1.21%,,,,
,,AW Page,Independent Ind SD,449,0.79%,,,,
,,TP Anton,Natural Law,168,0.30%,,,,
,,,,,,,,,
Wyre,*,KDR Mans,Conservative,29449,54.62%,67778,11664,79.54%,Conservative Hold
,,DS Borrow,Labour,17785,32.99%,,,,
,,JA Ault,Liberal Democrat,6420,11.91%,,,,
,,RV Perry,Natural Law,260,0.48%,,,,
,,,,,,,,,
Wyre Forest,*,AMV Coombs,Conservative,28983,47.84%,73602,10341,82.31%,Conservative Hold
,,R Maden,Labour,18642,30.77%,,,,
,,MD Jones,Liberal Democrat,12958,21.39%,,,,
,,,,,,,,,
Yeovil,*,JJD Ashdown,Liberal Democrat,30958,51.69%,73060,8833,81.98%,Liberal Democrat Gain
,,JT Davidson,Conservative,22125,36.94%,,,,
,,Ms. V Nelson,Labour,5765,9.63%,,,,
,,JO Risbridger,Green,639,1.07%,,,,
,,LD Sutch,Monster Raving Loony,338,0.56%,,,,
,,REG Simmerson,Independent,70,0.12%,,,,
,,,,,,,,,
Ynys Mon,*,I Wyn Jones,Plaid Cymru,15984,37.12%,53412,1106,80.62%,Plaid Cymru Hold
,,GP Rowlands,Conservative,14878,34.55%,,,,
,,RO Jones,Labour,10126,23.52%,,,,
,,Mrs PE Badger,Liberal Democrat,1891,4.39%,,,,
,,Mrs SM Parry,Natural Law,182,0.42%,,,,
,,,,,,,,,
York,,H Bayley,Labour,31525,49.13%,79242,6342,80.98%,Labour Gain
,*,CR Gregory,Conservative,25183,39.25%,,,,
,,Mrs KJ Anderson,Liberal Democrat,6811,10.61%,,,,
,,SN Kenwright,Green,594,0.93%,,,,
,,Mrs PS Orr,Natural Law,54,0.08%,,,,
,,,,,,,,,
